time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps
9799,194,8700,3.8000579464435575,15.571073179244996,0.001,558.5096508789062,-334223.859125,1,0.00867300751619041,9799.0,50
19598,454,18500,-0.06922723930329085,3024.204119644165,0.001,1230.3441876220704,-305475.92623,2,0.058293507359921934,9799.0,43
29397,754,28300,0.6228061871603131,216.95584867477416,0.001,1476.9808129882813,-304195.84449733334,3,0.05084581080824137,9799.0,38
39196,1015,38100,0.35882522314786913,251.6630410671234,0.001,1568.3075146484375,-309569.55052399996,4,0.0595370090380311,9799.0,38
48995,1278,47900,2.5998721359670163,189.89050827026367,0.001,1265.1941723632813,-257091.299038,5,0.030349322222173215,9799.0,38
58794,1549,57700,-2.4332656422257424,2964.940933380127,0.001,1199.6191613769531,-249804.37792099998,6,0.029110344760119915,9799.0,37
68593,1809,67500,-0.9448002924770117,152.1696008491516,0.001,1216.6251086425782,-245613.84929557142,7,0.030877791866660117,9799.0,37
78392,2067,77300,0.6328921334445476,136.7845972251892,0.001,1229.082930908203,-242006.87672249996,8,0.022849892843514682,9799.0,37
88191,2303,87100,-0.4614317470416427,192.84196327209472,0.001,1221.9241455078125,-239020.37915911106,9,0.04028997037559748,9799.0,38
97990,2539,96900,-0.5378070696629584,237.9834217643738,0.001,1219.2774743652344,-236835.02122329996,10,0.041533967182040214,9799.0,38
